loan_ref,borrower_name,borrower_dob,borrower_email,borrower_phone,co_borrower_name,address_street,address_suburb,address_state,address_postcode,property_type,bedrooms,purchase_price,loan_amount,interest_rate,loan_term_months,interest_type,repayment_type,repayment_frequency,product_name,settlement_date,loan_status,lvr,employer,income_gross_annual,expenses_monthly
MIG-000094,Thomas Ward,08/08/1993,thomas.ward@hotmail.com,0483362633,David Ward,66 Church Street,Indooroopilly,QLD,4068,House,3,516600.00,458740.80,7.14,360,Variable,Principal and Interest,Fortnightly,Low Doc Variable,02/04/2019,DRAFT,88.8,Qantas Airways,248202.74,5118.24
MIG-000095,Karen Cooper,22/03/1958,karen.cooper@hotmail.com,0493844580,,104 Park Drive,Frankston,VIC,3199,House,3,543700.00,404512.80,6.83,360,Variable,Interest Only,Monthly,Interest Only Fixed,19/08/2021,UNDER_ASSESSMENT,74.4,Commonwealth Bank,71759.19,6290.06
MIG-000096,Chloe Evans,08/08/1986,chloe.evans@outlook.com,0428445094,,91 Banksia Avenue,Footscray,VIC,3011,Townhouse,4,612000.00,299268.00,7.34,360,Split,Interest Only,Fortnightly,First Home Buyer Variable,24/11/2016,DRAFT,48.9,Stockland,215525.72,2627.73
MIG-000097,Mark Murphy,1957-02-16,mark.murphy@gmail.com,0495874801,,42 Elizabeth Court,Brunswick,VIC,3056,Unit,4,632100.00,309096.90,6.58,360,Fixed,Interest Only,Monthly,Low Doc Variable,2021-11-18,Arrears,48.9,VIC Department of Education,69398.81,4404.00
MIG-000098,Mary Mitchell,31/02/2020,mary.mitchell@icloud.com,0405971045,,152 Banksia Street,Glenelg,SA,5045,House,3,415700.00,272699.20,5.89,360,Split,Principal and Interest,Fortnightly,Interest Only Variable,09/06/2018,Active,65.6,Rio Tinto,214030.34,7678.67
MIG-000099,Isabella Green,10/06/1984,isabella.green@bigpond.com,0417114133,Joseph Green,99 Park Place,Ryde,NSW,2112,Townhouse,1,,394980.80,5.96,360,Fixed,Principal and Interest,Weekly,Standard Variable,23/02/2019,Closed,68.8,Lendlease,100795.97,5220.43
MIG-000100,Andrew Campbell,19/01/1990,,0414446921,,48 Railway Avenue,Norwood,SA,5067,Apartment,1,,244421.20,6.48,120,Variable,Principal and Interest,Monthly,Investor Variable,28/09/2018,Arrears,66.8,,174444.14,7259.90
MIG-000101,Olivia Thompson,22/12/1977,,0448234330,,194 Charles Close,,VIC,,Townhouse,1,272200.00,179379.80,6.68,360,Variable,Principal and Interest,Monthly,Low Doc Variable,14/05/2022,DRAFT,65.9,NSW Health,157773.35,6690.00
MIG-000102,Joseph  Cox,06/11/1957,joseph.cox@outlook.com,0470548277,,120 Queen Drive,Glenelg,SA,5045,Townhouse,3,282100.00,183082.90,7.28,120,Fixed,Principal and Interest,Monthly,Interest Only Variable,04/04/2019,Arrears,64.9,University of Melbourne,187021.21,7823.09
MIG-000103,Ethan Williams,24/12/1959,ethan.williams@hotmail.com,0490523936,,23 Harbour Place,Doncaster,VIC,3108,House,1,966000.00,655914.00,5.75,360,Variable,Principal and Interest,Weekly,Interest Only Variable,28/01/2019,SETTLED,67.9,Canva,196201.81,6150.15
MIG-000104,Elizabeth White,05/02/1970,elizabeth.white@outlook.com,0414545658,,94 Pacific Parade,Epping,NSW,2121,House,1,569400.00,448687.20,7.24,360,Split,Interest Only,Monthly,Interest Only Fixed,14/07/2018,DRAFT,78.8,QLD Government,106688.13,2585.72
MIG-000105,Ashley Wilson,25/08/1980,ashley.wilson@protonmail.com,0436518870,Mary Parker,54 Ocean Way,Launceston,TAS,7250,House,4,572200.00,412556.20,7.27,360,Variable,Principal and Interest,Monthly,Standard Variable,23/02/2022,DRAFT,72.1,Telstra Corporation,212896.74,6732.69
MIG-000106,Elizabeth Robinson,25/01/1990,elizabeth.robinson@outlook.com,0405935253,David Robinson,197 Pacific Court,Indooroopilly,QLD,4068,Unit,4,358200.00,293365.80,7.03,360,Fixed,Principal and Interest,Monthly,Standard Variable,25/10/2024,SETTLED,81.9,Transurban Group,94865.46,6608.36
MIG-000107,William Phillips,15/03/1958,william.phillips@icloud.com,0468499025,,,Hawthorn,VIC,,House,4,568000.00,420888.00,5.77,360,Variable,Principal and Interest,Monthly,Low Doc Variable,23/12/2017,DRAFT,74.1,Rio Tinto,231375.53,7456.25
MIG-000108,Olivia Edwards,not-a-date,olivia.edwards@gmail.com,0469001346,,66 Park Parade,Toorak,VIC,3142,House,1,651600.00,406598.40,6.39,360,Variable,Principal and Interest,Weekly,First Home Buyer Variable,05/07/2021,DRAFT,62.4,CSL Limited,172560.92,6828.04
MIG-000109,Susan Gray,2020-13-45,susan.gray@optusnet.com.au,0443040089,Lisa Gray,188 Park Road,Frankston,VIC,3199,House,1,568800.00,520452.00,7.02,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,13/06/2021,UNDER_ASSESSMENT,91.5,Fortescue Metals,74706.05,2567.55
MIG-000110,Mason Collins,24/05/1988,mason.collins@bigpond.com,0441518939,Nancy Collins,189 Church Place,Penrith,NSW,2750,House,4,843900.00,561193.50,7.02,360,Variable,Interest Only,Fortnightly,Investor Variable,20/02/2023,UNDER_ASSESSMENT,66.5,Macquarie Group,144184.72,5651.49
MIG-000111,Steven Nguyen,12/09/1957,steven.nguyen@gmail.com,0443353653,,60 Harbour Parade,Penrith,NSW,2750,Apartment,2,375900.00,344700.30,7.38,360,Variable,Principal and Interest,Weekly,First Home Buyer Variable,02/08/2021,APPROVED,91.7,Fortescue Metals,131854.67,6771.92
MIG-000112,Benjamin Green,04/02/1955,benjamin.green@hotmail.com,0458286736,,34 Banksia Lane,Wollongong,NSW,2500,Unit,3,364400.00,259088.40,7.49,300,Fixed,Principal and Interest,Fortnightly,Package Variable,13/12/2022,SETTLED,71.1,,148451.72,7619.39
MIG-000113,Isabella Morris,25/08/1975,isabella.morris@icloud.com,0476895823,,75 Ocean Lane,Toowoomba,QLD,4350,Unit,4,450200.00,290829.20,5.98,360,Fixed,Interest Only,Fortnightly,First Home Buyer Variable,14/01/2023,APPROVED,64.6,Fortescue Metals,182079.76,5737.09
MIG-000080,Isabella Peterson,25/03/1961,isabella.peterson@gmail.com,0400977731,Olivia Roberts,155 Charles Place,Southbank,QLD,4101,Townhouse,2,594200.00,546069.80,6.59,360,Split,Interest Only,Fortnightly,Package Fixed,20/04/2021,UNDER_ASSESSMENT,91.9,Atlassian,185209.65,4966.73
MIG-000115,Amelia Cooper,1994-10-13,,0444980137,,120 High Parade,Salisbury,,,House,2,622800.00,406065.60,5.94,360,Variable,Interest Only,Monthly,First Home Buyer Variable,2021-07-04,Closed,65.2,Wesfarmers,219966.25,2793.20
MIG-000116,Margaret Phillips,12/06/1970,margaret.phillips@outlook.com,0490578555,Isabella Phillips,138 Banksia Lane,Richmond,VIC,3121,House,3,567900.00,435579.30,5.94,360,Variable,Principal and Interest,Monthly,First Home Buyer Variable,02/12/2017,SETTLED,76.7,Woodside Energy,105324.42,5473.85
MIG-000117,Michael Richardson,27/02/1991,michael.richardson@hotmail.com,0406865481,Sophie Mitchell,56 Victoria Parade,Hornsby,NSW,2077,Townhouse,2,772900.00,550304.80,6.05,360,Variable,Principal and Interest,Monthly,Investor Variable,26/03/2023,APPROVED,71.2,Commonwealth Bank,62222.99,6082.43
MIG-000118,Mia Edwards,06/03/1964,mia.edwards@yahoo.com.au,0414137932,,77 Main Close,Gosford,NSW,2250,House,4,699000.00,450855.00,6.96,360,Variable,Principal and Interest,Fortnightly,Interest Only Fixed,22/08/2019,DRAFT,64.5,NSW Health,211077.55,3316.06
MIG-000119,Jessica Ryan,18/06/1962,jessica.ryan@outlook.com,0494769911,Logan Ryan,185 Main Close,Paddington,QLD,4064,Townhouse,1,622800.00,381776.40,5.57,360,Variable,Principal and Interest,Monthly,Standard Variable,26/02/2021,DRAFT,61.3,Macquarie Group,222421.81,6184.64
MIG-000120,Grace Howard,04/07/1982,grace.howard@optusnet.com.au,0406950574,,18 Elizabeth Court,Launceston,TAS,7250,Unit,2,214200.00,173073.60,7.45,360,Fixed,Principal and Interest,Fortnightly,Standard Fixed,25/09/2019,SETTLED,80.8,Wesfarmers,67378.98,3944.70
MIG-000121,Robert Cox,18/04/1967,robert.cox@hotmail.com,0473333374,Jack Cox,84 Station Crescent,Cranbourne,VIC,3977,House,1,500500.00,356356.00,7.37,360,Variable,Principal and Interest,Monthly,Standard Variable,11/11/2017,APPROVED,71.2,Atlassian,135204.92,5104.66
MIG-000122,Elizabeth Kelly,10/06/1962,elizabeth.kelly@gmail.com,0405449227,,172 George Street,Gosford,NSW,2250,Unit,4,,-486030.00,7.34,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,27/06/2024,UNDER_ASSESSMENT,88.6,Fortescue Metals,164807.81,4212.32
MIG-000123,William Campbell,15/10/1971,william.campbell@gmail.com,0461755549,Zoe Campbell,152 George Place,Castle Hill,NSW,2154,Apartment,2,464600.00,254600.80,5.97,360,Variable,Principal and Interest,Monthly,First Home Buyer Variable,11/05/2021,SETTLED,54.8,Fortescue Metals,99055.33,2709.23
MIG-000124,Steven Cox,02/03/1969,steven.cox@gmail.com,0469120965,,73 Banksia Road,Glenorchy,TAS,7010,Townhouse,1,,127120.00,7.38,360,Variable,Principal and Interest,Monthly,Investor Fixed,21/01/2019,Closed,70.0,Transurban Group,110651.46,6747.95
MIG-000125,Steven Morris,10/10/1979,steven.morris@outlook.com,0429709869,,17 George Drive,Glen Waverley,VIC,3150,Townhouse,4,689900.00,505006.80,7.13,360,Variable,Principal and Interest,Weekly,Package Fixed,17/07/2022,APPROVED,73.2,NSW Health,145486.16,3650.33
MIG-000126,Liam Harris,11-09-1961,liam.harris@yahoo.com.au,0435172199,Lisa Harris,92 Ocean Parade,Fremantle,WA,6160,Unit,4,345700.00,240952.90,6.43,360,Variable,Principal and Interest,Weekly,Interest Only Variable,12-20-2018,SETTLED,69.7,Rio Tinto,189173.71,3847.05
MIG-000127,Aria Watson,27/01/1963,aria.watson@optusnet.com.au,0454167027,,66 Church Boulevard,Gosford,NSW,2250,Unit,4,274700.00,174159.80,7.29,360,Variable,Principal and Interest,Monthly,Investor Variable,27/03/2015,Active,63.4,Macquarie Group,230856.45,4618.47
MIG-000128,Margaret Collins,02/12/1955,margaret.collins@yahoo.com.au,0427248058,,14 King Road,Surfers Paradise,QLD,4217,House,1,306000.00,211140.00,7.39,360,Variable,Principal and Interest,Weekly,Package Variable,16/11/2015,UNDER_ASSESSMENT,69.0,NSW Health,233094.83,2936.04
MIG-000129,Steven Adams,14/05/1982,steven.adams@protonmail.com,0440720689,,177 Station Street,Liverpool,NSW,2170,Apartment,2,455800.00,351421.80,5.87,360,Variable,Interest Only,Monthly,Low Doc Variable,27/01/2021,Active,77.1,Commonwealth Bank,214173.16,5997.53
MIG-000130,Christopher Morris,07/11/1987,christopher.morris@gmail.com,0453390606,Chloe Mitchell,9 Charles Lane,Indooroopilly,QLD,4068,Apartment,1,330100.00,250876.00,6.14,300,Fixed,Interest Only,Weekly,Investor Variable,12/04/2020,UNDER_ASSESSMENT,76.0,Rio Tinto,175645.75,2755.48
MIG-000131,Patricia Thompson,12/10/1983,patricia.thompson@optusnet.com.au,0423056372,,40 Albert Place,Cottesloe,WA,6011,House,4,561000.00,521730.00,7.36,360,Variable,Principal and Interest,Fortnightly,Investor Fixed,23/03/2018,UNDER_ASSESSMENT,93.0,ANZ Banking Group,150607.14,5764.51
MIG-000132,Jack Hall,10/07/1956,jack.hall@hotmail.com,0409798659,,75 Bridge Close,Gold Coast,QLD,4217,Unit,4,193700.00,165613.50,6.56,360,Fixed,Principal and Interest,Monthly,Investor Variable,20/02/2021,UNDER_ASSESSMENT,85.5,,188975.53,5199.01
MIG-000133,Ella Peterson,08/10/1957,ella.peterson@yahoo.com.au,0418857032,William Clark,167 Station Road,Doncaster,VIC,3108,Unit,3,469700.00,328790.00,5.91,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,15/01/2021,Active,70.0,Google Australia,112486.70,5231.65
MIG-000134,Ethan Baker,09-15-1957,ethan.baker@yahoo.com.au,0476670986,Emily Baker,83 Banksia Road,Geelong,VIC,3220,Apartment,3,502300.00,388277.90,5.70,120,Variable,Principal and Interest,Monthly,Investor Fixed,01-06-2021,SETTLED,77.3,University of Melbourne,131272.72,3755.88
MIG-000135,Henry Thomas,02-07-1979,henry.thomas@outlook.com,0467993680,,195 Queen Close,Surry Hills,NSW,2010,House,4,876400.00,671322.40,6.23,120,Split,Principal and Interest,Fortnightly,Investor Fixed,02-10-2017,Arrears,76.6,University of Melbourne,131756.79,5951.55
MIG-000136,Ava Robinson,10/11/1969,ava.robinson@outlook.com,0477401854,Oliver Richardson,69 Church Court,West End,QLD,4101,Unit,1,290100.00,208001.70,6.92,360,Fixed,Principal and Interest,Monthly,Interest Only Variable,07/05/2020,SETTLED,71.7,QLD Government,155209.40,4559.42
MIG-000137,Margaret Morris,16/12/2000,margaret.morris@yahoo.com.au,0489665053,,45 Elizabeth Boulevard,Rockingham,WA,6168,Unit,2,237000.00,198132.00,7.15,360,Fixed,Interest Only,Fortnightly,Low Doc Variable,26/08/2023,APPROVED,83.6,University of Melbourne,199491.41,6157.74
MIG-000138,Leo Roberts,07/01/1965,leo.roberts@yahoo.com.au,0467540670,,188 Pacific Avenue,Scarborough,WA,6019,House,4,337300.00,247915.50,6.86,120,Fixed,Principal and Interest,Monthly,Package Fixed,21/09/2021,Closed,73.5,ANZ Banking Group,182286.81,7603.22
MIG-000139,Ava Edwards,17/05/1989,ava.edwards@hotmail.com,0406178302,David Nguyen,117 George Crescent,,VIC,,Townhouse,2,595300.00,404208.70,5.62,360,Variable,Interest Only,Monthly,Low Doc Variable,02/06/2022,UNDER_ASSESSMENT,67.9,Microsoft Australia,238968.23,6555.05
MIG-000140,Archer Stewart,02-12-1986,archer.stewart@gmail.com,0493494837,,95 Church Way,Penrith,NSW,2750,Unit,2,398800.00,270785.20,6.98,360,Fixed,Principal and Interest,Fortnightly,Standard Variable,07-06-2019,UNDER_ASSESSMENT,67.9,Google Australia,135355.35,5807.86
MIG-000141,Liam Jones,10-10-1989,liam.jones@gmail.com,0466302751,Patricia Jones,30 Church Lane,Newcastle,NSW,2300,Unit,4,436100.00,370685.00,5.51,360,Variable,Principal and Interest,Monthly,Package Fixed,04-28-2019,UNDER_ASSESSMENT,85.0,CSL Limited,117316.13,4856.92
MIG-000142,Mark Ryan,02/11/1978,mark.ryan@yahoo.com.au,0404258738,,49 Harbour Boulevard,Mount Barker,SA,5251,House,2,589000.00,379316.00,6.52,360,Variable,Principal and Interest,Weekly,Interest Only Fixed,02/11/2015,DRAFT,64.4,Atlassian,208549.33,7146.95
MIG-000143,Joseph Adams,12/11/1963,joseph.adams@yahoo.com.au,0448216007,Lisa Adams,,,VIC,,Unit,4,388700.00,274810.90,6.64,360,Fixed,Principal and Interest,Fortnightly,Investor Variable,26/04/2018,APPROVED,70.7,,133026.42,7395.99
MIG-000144,Benjamin Murphy,26/07/1978,benjamin.murphy@icloud.com,0499030466,,114 Main Drive,Claremont,WA,6010,House,2,681800.00,390671.40,7.11,360,Variable,Principal and Interest,Monthly,Low Doc Variable,09/05/2024,UNDER_ASSESSMENT,57.3,,66809.63,7199.16
MIG-000145,Mary Davis,10/03/1958,mary.davis@gmail.com,0419160293,,146 Victoria Crescent,South Yarra,VIC,3141,House,4,879200.00,569721.60,5.54,360,Variable,Principal and Interest,Fortnightly,Standard Fixed,19/03/2025,APPROVED,64.8,Westpac Group,241929.65,3028.12
MIG-000146,Elizabeth Watson,23/05/1964,elizabeth.watson@hotmail.com,0466752989,,152 King Street,Ryde,NSW,2112,Apartment,1,650500.00,398106.00,7.12,360,Variable,Principal and Interest,Weekly,Package Variable,21/02/2018,SETTLED,124.0,PwC Australia,57096.01,6075.18
MIG-000147,Elijah White,05/03/1997,elijah.white@gmail.com,0400265648,,63 Wattle Way,Dandenong,VIC,3175,Unit,3,500300.00,339703.70,7.47,360,Variable,Principal and Interest,Monthly,Investor Variable,19/10/2022,Active,67.9,Coles Group,175874.70,6581.12
MIG-000148,Elijah Parker,11/08/1967,elijah.parker@gmail.com,0498039398,,23 Albert Street,Glen Waverley,VIC,3150,Unit,3,461800.00,268305.80,6.49,360,Fixed,Principal and Interest,Fortnightly,Low Doc Variable,03/01/2020,DRAFT,58.1,,157005.56,4915.59
MIG-000149,Olivia Kelly,15/11/1989,olivia.kelly@yahoo.com.au,0456292153,Henry Kelly,173 Bridge Court,Subiaco,WA,6008,House,2,641000.00,473699.00,6.49,360,Variable,Interest Only,Fortnightly,Package Fixed,05/01/2021,APPROVED,73.9,Telstra Corporation,241059.82,7795.17
MIG-000150,Mark Clark,1989-04-20,mark.clark@hotmail.com,0453334458,Jennifer Clark,4 Wattle Drive,South Yarra,VIC,3141,Townhouse,3,,490852.00,5.90,360,Fixed,Interest Only,Monthly,Package Variable,2022-02-06,SETTLED,73.0,Woolworths Group,82405.29,3151.79
MIG-000151,Elijah Smith,23/03/1977,elijah.smith@yahoo.com.au,0460042201,,62 High Court,Brighton,VIC,3186,Townhouse,2,416000.00,336960.00,5.92,360,Fixed,Principal and Interest,Monthly,Interest Only Variable,16/11/2020,APPROVED,81.0,Google Australia,184435.42,6579.94
MIG-000152,Benjamin Walker,15/04/1967,benjamin.walker@gmail.com,0453046851,,167 Charles Boulevard,Hawthorn,VIC,3122,House,3,388100.00,347737.60,6.01,360,Variable,Principal and Interest,Monthly,Package Variable,11/01/2022,UNDER_ASSESSMENT,89.6,Wesfarmers,172781.96,4112.36
MIG-000153,Elijah Peterson,11/03/1977,elijah.peterson@icloud.com,0426006906,,124 Banksia Boulevard,Southbank,QLD,4101,House,2,366600.00,277516.20,6.78,300,Variable,Principal and Interest,Monthly,Interest Only Variable,01/08/2020,Active,75.7,BHP Group,127979.79,2501.86
MIG-000154,Elizabeth Walker,22/02/1958,elizabeth.walker@icloud.com,0410492475,,90 Bridge Boulevard,Richmond,VIC,3121,Townhouse,2,581800.00,438677.20,6.00,360,Fixed,Interest Only,Weekly,Investor Variable,17/04/2017,DRAFT,75.4,ANZ Banking Group,237933.12,2759.58
MIG-000155,Christopher Davis,00/13/2021,,0433555356,,148 Railway Boulevard,Woden,ACT,2606,Vacant Land,,182100.00,134754.00,6.62,360,Variable,Principal and Interest,Weekly,Package Fixed,24/10/2021,DRAFT,74.0,Atlassian,101520.83,5914.67
MIG-000156,Amelia Richardson,29/02/2019,amelia.richardson@outlook.com,0488029053,,131 Church Place,Surfers Paradise,QLD,4217,House,2,306900.00,243064.80,6.61,360,Variable,Principal and Interest,Monthly,Interest Only Variable,not-a-date,DRAFT,79.2,BHP Group,61410.22,5667.37
MIG-000157,John Hall,05/02/1971,john.hall@icloud.com,0483912032,,133 Bridge Street,Parramatta,NSW,2150,House,4,1110700.00,820807.30,6.08,360,Variable,Principal and Interest,Fortnightly,Investor Variable,09/10/2018,UNDER_ASSESSMENT,73.9,Westpac Group,69885.60,3147.16
MIG-000158,Ella Peterson,01/08/1978,ella.peterson@outlook.com,0412974674,,123 Elizabeth Street,,,,Apartment,1,511000.00,414421.00,6.91,360,Variable,Principal and Interest,Monthly,Package Variable,04/10/2021,SETTLED,81.1,Microsoft Australia,128640.96,2811.49
MIG-000159,Richard Morgan,26/02/1998,richard.morgan@yahoo.com.au,0419652325,,45 Station Way,Penrith,NSW,2750,Unit,1,,448648.20,7.35,360,Variable,Principal and Interest,Monthly,Interest Only Variable,09/01/2023,Arrears,70.2,Fortescue Metals,180819.43,4467.66
MIG-000160,Mason Collins,17/05/1960,mason.collins@gmail.com,0404655426,,150 Park Parade,Gold Coast,QLD,4217,Townhouse,2,255600.00,146714.40,7.34,360,Variable,Principal and Interest,Monthly,Investor Variable,13/03/2020,APPROVED,57.4,NSW Health,105134.90,7197.62
MIG-000161,Elijah Anderson,05/09/1975,elijah.anderson@yahoo.com.au,0411193476,Jessica Anderson,8 Pacific Drive,Dandenong,VIC,3175,House,2,800100.00,629678.70,5.91,360,Fixed,Principal and Interest,Monthly,Package Fixed,01/12/2020,SETTLED,78.7,,202495.53,3051.16
MIG-000162,Ella Stewart,14/10/1983,ella.stewart@yahoo.com.au,0477487198,Harper Stewart,150 Elizabeth Place,Glenelg,SA,5045,House,3,377900.00,312145.40,7.36,360,Variable,Interest Only,Weekly,Low Doc Variable,03/08/2020,Arrears,82.6,,76603.43,5861.88
MIG-000163,Emily Lee,07/02/1988,emily.lee@outlook.com,0403105258,,193 King Road,Doncaster,VIC,3108,House,1,865400.00,659434.80,7.39,360,Variable,Interest Only,Monthly,Package Fixed,17/03/2016,SETTLED,76.2,PwC Australia,124822.66,2732.15
MIG-000164,Henry Gray,06/02/1958,,0473028637,James Gray,112 William Court,Subiaco,WA,6008,Unit,3,385000.00,267575.00,7.07,360,Split,Interest Only,Monthly,Package Fixed,18/09/2021,APPROVED,69.5,Microsoft Australia,172433.62,3691.41
MIG-000165,Zoe Robinson,11/02/1997,zoe.robinson@gmail.com,0496913456,,187 Albert Avenue,Dandenong,VIC,3175,Unit,4,264700.00,-70427.00,7.28,360,Variable,Principal and Interest,Monthly,Low Doc Variable,15/12/2022,APPROVED,95.0,National Australia Bank,249781.12,3157.93
MIG-000166,Charlotte Wright,2000-12-01,charlotte.wright@outlook.com,0466259909,,183 George Close,Fremantle,WA,6160,Townhouse,3,365700.00,212471.70,6.20,300,Variable,Principal and Interest,Monthly,Package Fixed,2022-09-01,DRAFT,58.1,CSL Limited,216956.76,5436.38
MIG-000167,Richard Howard,15/06/1957,,0450360665,Emily Howard,22 Harbour Court,Claremont,WA,6010,House,4,359800.00,322740.60,6.97,360,Variable,Principal and Interest,Weekly,Standard Variable,01/09/2022,SETTLED,89.7,Stockland,157386.95,4410.00
MIG-000168,Steven Williams,26/06/1964,steven.williams@gmail.com,0450101654,,188 Charles Lane,Brunswick,VIC,3056,House,4,583400.00,540228.40,6.42,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,22/03/2018,APPROVED,92.6,Woodside Energy,201163.60,7959.16
MIG-000169,Richard Adams,05/08/1971,richard.adams@outlook.com,0469261621,Patricia Adams,24 Railway Close,Hawthorn,VIC,3122,House,4,802200.00,656199.60,6.34,360,Fixed,Interest Only,Monthly,First Home Buyer Variable,13/05/2022,DRAFT,81.8,Microsoft Australia,135627.59,3596.19
MIG-000170,  Logan Lee,28/04/1955,logan.lee@gmail.com,0479143432,,11 Albert Close,Claremont,WA,6010,Unit,2,446000.00,330486.00,6.02,120,Variable,Principal and Interest,Fortnightly,Package Fixed,23/06/2017,APPROVED,74.1,Macquarie Group,90981.55,5693.76
MIG-000171,Susan Baker,21/09/1978,susan.baker@icloud.com,0434034055,,61 Harbour Lane,Joondalup,WA,6027,Apartment,2,389400.00,239870.40,7.08,300,Variable,Principal and Interest,Monthly,Package Fixed,01/04/2018,DRAFT,61.6,,239290.11,2774.55
MIG-000172,Sandra Campbell,17/04/1960,sandra.campbell@optusnet.com.au,0427504918,,85 Bridge Lane,Salisbury,SA,5108,House,3,402000.00,299490.00,6.45,360,Fixed,Principal and Interest,Monthly,Investor Fixed,11/11/2019,APPROVED,74.5,NSW Health,225099.47,3561.21
MIG-000173,Elizabeth Edwards,15/04/1967,,0429584316,,196 Albert Parade,,,,Townhouse,4,423200.00,283967.20,6.23,360,Variable,Interest Only,Monthly,Low Doc Variable,25/08/2018,SETTLED,67.1,National Australia Bank,143259.19,7941.48
MIG-000174,Benjamin Jones,26/02/1974,benjamin.jones@hotmail.com,0418905554,,52 Queen Court,Southbank,QLD,4101,Apartment,4,267400.00,160707.40,7.16,120,Split,Principal and Interest,Monthly,Package Fixed,24/12/2023,UNDER_ASSESSMENT,111.4,Google Australia,92960.62,5377.17
MIG-000175,Charlotte Parker,22/01/1956,charlotte.parker@icloud.com,0419151638,,17 Elizabeth Place,Redcliffe,QLD,4020,Apartment,1,212500.00,154700.00,6.24,360,Fixed,Principal and Interest,Weekly,First Home Buyer Variable,01/06/2021,APPROVED,72.8,ANZ Banking Group,55801.73,6384.29
MIG-000176,Joseph Baker,08/03/1956,joseph.baker@hotmail.com,0423965541,,26 William Crescent,West End,QLD,4101,Townhouse,4,343000.00,277830.00,6.71,360,Variable,Principal and Interest,Monthly,Low Doc Variable,18/04/2021,DRAFT,81.0,QLD Government,94883.06,4112.62
MIG-000177,Henry Morgan,19/03/1993,henry.morgan@gmail.com,0468341058,,192 Banksia Place,Toowong,QLD,4066,Vacant Land,,198800.00,163612.40,6.95,360,Variable,Interest Only,Monthly,Investor Fixed,23/11/2018,DRAFT,82.3,PwC Australia,69908.63,5637.44
MIG-000178,Sophie Adams,17/12/1995,sophie.adams@bigpond.com,0417141748,,137 Charles Way,Frankston,VIC,3199,House,3,541600.00,472275.20,7.22,300,Variable,Principal and Interest,Monthly,Interest Only Fixed,04/05/2019,UNDER_ASSESSMENT,87.2,Lendlease,189639.90,2997.04
MIG-000179,Patricia Taylor,02/07/1994,patricia.taylor@hotmail.com,0457264290,Lily Lee,96 Elizabeth Place,Chatswood,NSW,2067,Unit,3,374100.00,295539.00,6.65,360,Variable,Principal and Interest,Fortnightly,Investor Variable,05/01/2021,APPROVED,79.0,Woolworths Group,219422.34,6394.70
MIG-000180,Lucas Walker,26/08/1964,lucas.walker@gmail.com,0428613801,Noah Walker,125 Bridge Lane,Subiaco,WA,6008,House,4,574600.00,493006.80,6.25,360,Split,Principal and Interest,Weekly,Package Variable,06/09/2021,SETTLED,85.8,National Australia Bank,82851.17,7575.43
MIG-000181,James Gray,1956-10-06,james.gray@yahoo.com.au,0405760011,,148 Church Lane,Fremantle,WA,6160,Apartment,1,240000.00,163200.00,7.27,360,Split,Principal and Interest,Monthly,Interest Only Variable,2017-10-18,APPROVED,68.0,Commonwealth Bank,141844.79,6096.35
MIG-000129,Ethan Hall,13/07/1985,ethan.hall@hotmail.com,0408754204,,88 Main Court,Mandurah,WA,6210,House,4,434500.00,330220.00,6.21,360,Fixed,Principal and Interest,Monthly,Standard Fixed,26/08/2023,DRAFT,76.0,Qantas Airways,132875.23,5052.65
MIG-000183,Liam Campbell,18/04/1977,,0491679051,Mason Morgan,53 Victoria Street,Parramatta,NSW,2150,Unit,1,247600.00,191642.40,6.65,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,14/08/2021,UNDER_ASSESSMENT,77.4,Westpac Group,62422.54,6282.06
MIG-000184,Theodore Richardson,11/09/1978,,0457743719,,74 Wattle Avenue,Unley,SA,5061,Unit,2,323600.00,219077.20,5.69,360,Fixed,Principal and Interest,Monthly,Low Doc Variable,05/07/2019,APPROVED,67.7,Lendlease,244399.70,6113.30
MIG-000185,Mark Anderson,31/02/2020,mark.anderson@hotmail.com,0464606342,,135 High Close,Scarborough,WA,6019,House,1,508100.00,450684.70,6.83,360,Variable,Principal and Interest,Weekly,First Home Buyer Variable,31/02/2020,SETTLED,88.7,ANZ Banking Group,85853.92,7563.51
MIG-000186,Daniel Taylor,15/09/1999,daniel.taylor@yahoo.com.au,0477776366,Ella Taylor,81 Elizabeth Way,Blacktown,NSW,2148,Townhouse,3,,325381.60,6.94,360,Fixed,Interest Only,Monthly,Investor Variable,23/06/2022,DRAFT,80.8,Woodside Energy,99606.13,7605.86
MIG-000187,Henry Evans,21/05/1962,,0467083429,,48 Albert Road,Cranbourne,VIC,3977,House,2,516500.00,337791.00,7.33,120,Variable,Principal and Interest,Monthly,Package Variable,06/11/2019,APPROVED,65.4,National Australia Bank,62191.88,7420.57
MIG-000188,Jack Martin,05/12/1980,jack.martin@gmail.com,0492466476,Mark Martin,172 High Crescent,Castle Hill,NSW,2154,Unit,2,622100.00,536250.20,7.24,360,Split,Principal and Interest,Monthly,Low Doc Variable,28/01/2023,Arrears,86.2,NSW Health,105207.45,5424.55
